&XXXXXX;XXXXX ;XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX ;XXXXXXXXXX ;XXX ;X;
&      ;CODIGO;NOME: Usina, Barra e Tipo de Usina       ;PMAX       ;FCAP;C;
&XXXXXX;XXXXX ;XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX ;XXXXXXXXXX ;XXX ;X;
EOLICA ;  204 ;A3FRA _Franca Amaral_01789_UHE           ;      9999 ;1.0 ;0; 
EOLICA ;  205 ;A3PIRA_PIRAPETINGA_01791_UHE             ;      9999 ;1.0 ;0; 
EOLICA ;  206 ;D1CXH _Coxim_01809_CGH                   ;      9999 ;1.0 ;0; 
EOLICA ;  207 ;KCCAO _CJCHAPADAO_01813_UTE              ;      9999 ;1.0 ;0; 
EOLICA ;  208 ;D1SANT_SANTA IZABEL_01816_CGH            ;      9999 ;1.0 ;0; 
EOLICA ;  209 ;D1UMAI_Energia Maia_01816_CGH            ;      9999 ;1.0 ;0; 
EOLICA ;  210 ;D1COT _Vetorial Corumba_01818_UTE        ;      9999 ;1.0 ;0; 
EOLICA ;  211 ;D1BELA_BELA MIRAGEM_01834_CGH            ;      9999 ;1.0 ;0; 
EOLICA ;  212 ;D1SJD _Sao Joao II_01851_CGH             ;      9999 ;1.0 ;0; 
EOLICA ;  213 ;D1SJU _Sao Joao I_01851_CGH              ;      9999 ;1.0 ;0; 
EOLICA ;  214 ;D1PAS _PARAISO I_01859_PCH               ;      9999 ;1.0 ;0; 
EOLICA ;  215 ;D1BURI_Buriti_01863_PCH                  ;      9999 ;1.0 ;0; 
EOLICA ;  216 ;D1REVH_RETIRO VELHO_01865_PCH            ;      9999 ;1.0 ;0; 
EOLICA ;  217 ;D1UASU_Alto Sucuriu_01867_PCH            ;      9999 ;1.0 ;0; 
EOLICA ;  218 ;AAUTAG_ANGELICA_01869_UTE                ;      9999 ;1.0 ;0; 
EOLICA ;  219 ;D1UPPD_Porto das Pedras_01870_PCH        ;      9999 ;1.0 ;0; 
EOLICA ;  220 ;D1PLT _Planalto_01871_PCH                ;      9999 ;1.0 ;0; 
EOLICA ;  221 ;M2UCAA_CAARAPO_01873_UTE                 ;      9999 ;1.0 ;0; 
EOLICA ;  222 ;D1VIAL_Vista Alegre I_01874_UTE          ;      9999 ;1.0 ;0; 
EOLICA ;  223 ;D1VIST_VISTA ALEGRE II_01874_UTE         ;      9999 ;1.0 ;0; 
EOLICA ;  224 ;D1USFE_Sao Fernando Acucar e_01875_UTE   ;      9999 ;1.0 ;0; 
EOLICA ;  225 ;ODCRBR_CJRBRILHANTE_01878_UTE            ;      9999 ;1.0 ;0; 
EOLICA ;  226 ;D1UTMV_Monteverde_01879_UTE              ;      9999 ;1.0 ;0; 
EOLICA ;  227 ;M1RBRT_RBRILHANTE_01888_UTE              ;      9999 ;1.0 ;0; 
EOLICA ;  228 ;D1PONT_PONTE ALTA_01897_PCH              ;      9999 ;1.0 ;0; 
EOLICA ;  229 ;D3UBUG_Bugres_02050_UHE                  ;      9999 ;1.0 ;0; 
EOLICA ;  230 ;D3UPIN_Passo do Inferno_02050_PCH        ;      9999 ;1.0 ;0; 
EOLICA ;  231 ;D3UTOC_Toca_02050_CGH                    ;      9999 ;1.0 ;0; 
EOLICA ;  232 ;CEUCAN_CANASTRA_02051_UHE                ;      9999 ;1.0 ;0; 
EOLICA ;  233 ;D3FORE_Forespel - E.R. Pellets_02065_UTE ;      9999 ;1.0 ;0; 
EOLICA ;  234 ;D3ABNA_Abauna_02069_CGH                  ;      9999 ;1.0 ;0; 
EOLICA ;  235 ;D3ENER_Energir_02069_UTE                 ;      9999 ;1.0 ;0; 
EOLICA ;  236 ;D3QUDE_Quebra Dentes_02087_PCH           ;      9999 ;1.0 ;0; 
EOLICA ;  237 ;D3ALBM_Albano Machado_02095_PCH          ;      9999 ;1.0 ;0; 
EOLICA ;  238 ;D3CTAN_Cascata das Andorinhas_02095_CGH  ;      9999 ;1.0 ;0; 
EOLICA ;  239 ;D3PASO_PASSO DO CERVO_02095_CGH          ;      9999 ;1.0 ;0; 
EOLICA ;  240 ;A4UCP _Capao Preto_02100_PCH             ;      9999 ;1.0 ;0; 
EOLICA ;  241 ;A6USA _Santana_02100_PCH                 ;      9999 ;1.0 ;0; 
EOLICA ;  242 ;A6USMO_MONJOLINHO_02100_UHE              ;      9999 ;1.0 ;0; 
EOLICA ;  243 ;A6UGP _Gaviao Peixoto_02101_PCH          ;      9999 ;1.0 ;0; 
EOLICA ;  244 ;A4UAM _Americana_02102_PCH               ;      9999 ;1.0 ;0; 
EOLICA ;  245 ;A6USP _Pinhal_02103_PCH                  ;      9999 ;1.0 ;0; 
